Ticker,TanggalTerakhir,HargaTerakhir,RSI_Terakhir,Akurasi,Presisi,ProbNaik_Next_%,ProbTurun_Next_%,BT_TotalRet_Strategy_%,BT_TotalRet_BuyHold_%,BT_Trades,BT_WinRate_%,CandidateBuy
BBRI.JK,2026-01-21,3820.0,73.52941176470588,0.7526315789473684,0.8029197080291971,79.47248677248676,20.527513227513232,553.8381994429293,-0.8485782349261561,98,86.73469387755102,False
BBNI.JK,2026-01-21,4590.0,64.86486486486487,0.7315789473684211,0.6903225806451613,72.60554815554816,27.39445184445184,666.3303304309749,9.195340212637682,87,86.20689655172413,True
PGAS.JK,2026-01-21,2090.0,77.27272727272728,0.7763157894736842,0.7875,66.13684001184001,33.863159988159985,538.7323455724605,50.22525083635545,107,89.7196261682243,False
ITMG.JK,2026-01-21,22300.0,68.08510638297872,0.7,0.6847826086956522,64.2319227069227,35.7680772930773,181.73120282189296,11.450685248548753,128,76.5625,False
INCO.JK,2026-01-21,6450.0,73.39449541284404,0.8021108179419525,0.8092105263157895,61.613764938764945,38.38623506123508,2170.2224517218942,63.677885301943626,94,91.48936170212765,False
HMSP.JK,2026-01-21,780.0,65.71428571428572,0.7368421052631579,0.6611570247933884,61.07600362600362,38.923996373996374,571.842397074838,22.59049782436817,64,79.6875,False
GGRM.JK,2026-01-21,16000.0,70.20202020202021,0.7473684210526316,0.7105263157894737,60.178602878602874,39.82139712139711,650.6054709585868,-8.859751155524354,62,83.87096774193549,False
ERAA.JK,2026-01-21,408.0,50.0,0.7736842105263158,0.7857142857142857,54.617409442409425,45.382590557590554,923.7297264171234,14.810805351871736,72,90.27777777777779,False
MDKA.JK,2026-01-21,3310.0,81.98757763975155,0.7590027700831025,0.75,52.13483553483555,47.86516446516446,1202.1514936811461,39.07563025210072,71,87.32394366197182,False
TINS.JK,2026-01-21,3590.0,66.90140845070422,0.7105263157894737,0.7518248175182481,45.54290524290523,54.45709475709474,2756.825738601764,332.92303511649646,78,91.02564102564102,False
PTBA.JK,2026-01-21,2480.0,84.0,0.781578947368421,0.7333333333333333,45.32079587079586,54.67920412920414,259.77329932751286,15.019181035458828,88,81.81818181818183,False
INDF.JK,2026-01-21,6700.0,46.80851063829787,0.8,0.7692307692307693,45.19755984755983,54.80244015244017,560.4601164308507,22.865175491363132,118,89.83050847457628,False
ADRO.JK,2026-01-21,2260.0,82.6086956521739,0.7519788918205804,0.7483443708609272,43.77297147297149,56.22702852702852,1136.074151915381,59.709998377359,82,86.58536585365853,False
ANTM.JK,2026-01-21,4270.0,77.72277227722772,0.7131578947368421,0.8307692307692308,42.911197136197146,57.088802863802876,1280.2723176985078,268.93871939919933,82,90.2439024390244,False
ICBP.JK,2026-01-21,8100.0,42.30769230769231,0.7467018469656992,0.7323943661971831,40.495757945757966,59.50424205424206,284.59204054413993,-19.44922788029435,78,91.02564102564102,False
INTP.JK,2026-01-21,6925.0,32.25806451612904,0.7097625329815304,0.6445783132530121,39.64075924075923,60.35924075924076,520.929541214067,-0.8762787452083143,92,75.0,False
KLBF.JK,2026-01-21,1200.0,48.57142857142857,0.8052631578947368,0.7972027972027972,38.161828041239815,61.83817195876019,881.5530138021476,-19.965232292478806,93,91.39784946236558,False
TLKM.JK,2026-01-21,3600.0,60.714285714285715,0.8153034300791556,0.8023952095808383,37.200037000037014,62.799962999963,839.975928124295,28.169891861868734,102,90.19607843137256,False
UNVR.JK,2026-01-21,2290.0,15.555555555555543,0.7710526315789473,0.7678571428571429,31.95191937691938,68.04808062308061,697.7523983361475,-16.85797930597047,66,86.36363636363636,False
BMRI.JK,2026-01-21,4990.0,49.16422983407797,0.7342105263157894,0.75,27.44632867132868,72.55367132867133,476.57863052601846,-6.617203746525457,82,87.8048780487805,False
TKIM.JK,2026-01-21,8000.0,72.3076923076923,0.7289473684210527,0.711864406779661,24.75365467865468,75.24634532134533,305.17388735815405,-6.559602586309765,70,77.14285714285715,False
SMGR.JK,2026-01-21,2610.0,45.16129032258065,0.7105263157894737,0.696,22.991810041810044,77.00818995818994,388.88100283117126,-25.53105453578852,71,73.23943661971832,False
INKP.JK,2026-01-21,10075.0,83.87096774193549,0.7308707124010554,0.7611940298507462,22.633366633366638,77.36663336663338,562.9377099150439,14.503986241053045,67,82.08955223880598,False
ACES.JK,2026-01-21,412.0,53.33333333333333,0.7546174142480211,0.7383177570093458,22.583742183742185,77.41625781625781,235.90145919137092,-48.420646846287205,57,80.7017543859649,False
ASII.JK,2026-01-21,6600.0,47.82608695652174,0.7710526315789473,0.7922077922077922,21.797966847966848,78.20203315203312,553.304290763038,64.98459311355778,111,83.78378378378379,False
AKRA.JK,2026-01-21,1295.0,57.14285714285714,0.7289473684210527,0.7317073170731707,21.38911181411183,78.6108881858882,622.081715357645,-11.710913963281588,76,86.8421052631579,False
AMRT.JK,2026-01-21,1940.0,41.463414634146346,0.7473684210526316,0.776,20.93312752062753,79.06687247937246,372.306978014181,-28.000362433742477,72,90.27777777777779,False
CPIN.JK,2026-01-21,4450.0,43.18181818181818,0.7467018469656992,0.7983870967741935,16.920537795537797,83.07946220446217,396.5688339845913,-9.442751375956316,81,83.9506172839506,False
UNTR.JK,2026-01-21,27200.0,36.857142857142854,0.7598944591029023,0.8509316770186336,11.755447330447332,88.2445526695527,539.3251717065826,40.21667414917154,102,93.13725490196079,False
BBCA.JK,2026-01-21,7700.0,34.04255319148936,0.7921052631578948,0.864406779661017,6.596993746993747,93.40300625300625,246.6864102013037,-15.48171019620861,71,98.59154929577466,False
